,title,ID,url,channel,datetime,length,viewCount,likeCount,dislikeCount,commentCount,oneDayEnd
21,DIY GIANT KFC DRUMSTICK *DO NOT ATTEMPT*,7LVo3UUMu0k,www.youtube.com/watch?v=7LVo3UUMu0k,HellthyJunkFood,2017-04-09 09:00:00,11:04,460329,11911,2294,,1
22,"$2 Pizza Vs. $2,000 Pizza • New York City",bcdJgjNDsto,www.youtube.com/watch?v=bcdJgjNDsto,BuzzFeedVideo,2017-04-09 11:00:09,15:46,4852628,140507,4477,31995,1
23,SCARY INSTANT FIRE NOODLE CHALLENGE!!! (EXTREMELY SPICY 🔥),bmSvyfWqUC4,www.youtube.com/watch?v=bmSvyfWqUC4,DavidParodyPlays,2017-04-08 19:00:02,5:58,301205,31327,364,3678,1
24,What's inside a Kookaburra Cricket Ball?,ebab3e15Nug,www.youtube.com/watch?v=ebab3e15Nug,What's Inside?,2017-04-09 10:00:03,9:34,383659,8020,918,2989,1
25,Gerrymandering: Last Week Tonight with John Oliver (HBO),A-4dIImaodQ,www.youtube.com/watch?v=A-4dIImaodQ,LastWeekTonight,2017-04-10 02:30:00,19:34,2487819,59219,2305,8795,1
26,John Oliver Ad on ‘The O’Reilly Factor’ to Educate Donald Trump,dDRvTipbeqw,www.youtube.com/watch?v=dDRvTipbeqw,WorldWide,2017-04-10 01:00:14,1:37,418625,4106,1527,1282,1
27,Anne Hathaway & Jason Sudeikis Answer the Web's Most Searched Questions | WIRED,eMg33JC5NUI,www.youtube.com/watch?v=eMg33JC5NUI,WIRED,2017-04-10 06:00:54,7:10,971175,15191,612,,1
28,I Tried The Diva Cup,Azv9r2e97xo,www.youtube.com/watch?v=Azv9r2e97xo,Safiya Nygaard,2017-04-09 17:36:46,13:09,957183,47912,550,9256,1
29,3 Cool Gadgets Under $10,pLaOzEapKAw,www.youtube.com/watch?v=pLaOzEapKAw,Unbox Therapy,2017-04-09 15:30:20,7:01,1668076,57739,1381,4451,1
30,How to sound smarter without actually being smarter: Pause,GVziJ36gjys,www.youtube.com/watch?v=GVziJ36gjys,The Package Boy,2017-04-09 15:12:16,0:55,139297,1929,291,303,1
31,"Chinese Farmers Market Tour in Szechuan, China |  BEST Street Food + SPICY Szechuan Sauce in China",V9FpUSigyX8,www.youtube.com/watch?v=V9FpUSigyX8,The Food Ranger,2017-04-09 22:00:11,16:32,198733,7059,129,2924,1
32,The algorithm that could help end partisan gerrymandering,gRCZR_BbjTo,www.youtube.com/watch?v=gRCZR_BbjTo,Vox,2017-04-10 08:58:11,3:19,129049,6019,193,,0
33,Distraught parents await news outside school,KFPXsP-2kGo,www.youtube.com/watch?v=KFPXsP-2kGo,CNN,2017-04-10 15:47:58,1:35,7200,542,258,844,0
34,Tyrese & Ludacris Keep It All The Way 100 With The Breakfast Club,PKsAVMTp47Q,www.youtube.com/watch?v=PKsAVMTp47Q,Breakfast Club Power 105.1 FM,2017-04-10 08:40:39,39:58,343976,5797,320,,0
35,Sense8 | Season 2 Official Trailer [HD] | Netflix,V8vd0AjdNbQ,www.youtube.com/watch?v=V8vd0AjdNbQ,Netflix US & Canada,2017-04-10 10:30:32,1:42,168304,6676,172,1124,0
36,"The Voice 2017 Knockout - Aliyah Moulden: ""Before He Cheats""",c8y0AYXpyE0,www.youtube.com/watch?v=c8y0AYXpyE0,The Voice,2017-04-10 22:00:01,2:11,11376,1236,29,,0
37,Multiple people shot at San Bernardino school,-9lDgT_uNwQ,www.youtube.com/watch?v=-9lDgT_uNwQ,Fox News,2017-04-10 16:02:36,7:25,108274,525,136,1304,0
38,Nick and Peta’s Rumba  -  Dancing with the Stars,wsXMuTvysoM,www.youtube.com/watch?v=wsXMuTvysoM,Dancing With The Stars,2017-04-10 22:44:17,3:50,17251,289,16,62,0
39,"The Voice 2017 Knockout - Vanessa Ferguson: ""If I Were Your Woman""",hqDvUAzo1ow,www.youtube.com/watch?v=hqDvUAzo1ow,The Voice,2017-04-10 22:00:01,2:12,117125,3581,49,,0
