,title,ID,url,channel,datetime,length,viewCount,likeCount,dislikeCount,commentCount,oneDayEnd
42,"Steve Bannon ""Just Snapped""",y28vwZSGock,www.youtube.com/watch?v=y28vwZSGock,The Young Turks,2017-04-11 22:00:02,864,399054,6983,945,2574.0,1
43,Sean Spicer's Hitler Comments as HBO's Veep Credits,eqPbVwtw7qQ,www.youtube.com/watch?v=eqPbVwtw7qQ,Dan Ketchum,2017-04-12 00:59:08,79,326830,4920,340,923.0,1
44,DETROIT | Official Trailer,HFeWsDpy9y0,www.youtube.com/watch?v=HFeWsDpy9y0,The Annapurna Channel,2017-04-12 09:00:04,145,1683832,8405,1497,4270.0,1
45,Sean Spicer's Disturbing Hitler Statement,Zi8_j6bAMQQ,www.youtube.com/watch?v=Zi8_j6bAMQQ,Jimmy Kimmel Live,2017-04-12 03:30:00,111,316456,3381,382,1171.0,1
46,TV detective vs tech guy,S73nmMU1LDs,www.youtube.com/watch?v=S73nmMU1LDs,ProZD,2017-04-11 16:10:32,12,425448,22739,254,1119.0,1
47,Shame On You United Airlines,PqBbqjM_pKE,www.youtube.com/watch?v=PqBbqjM_pKE,CaseyNeistat,2017-04-11 15:13:33,583,2805171,107256,6378,18512.0,1
48,SPIKY Sea Creatures!,f-IYeIDr8V4,www.youtube.com/watch?v=f-IYeIDr8V4,Brave Wilderness,2017-04-12 07:00:05,947,1437122,40712,771,7228.0,1
49,Human Nacho Challenge,ue2mO8ALWz0,www.youtube.com/watch?v=ue2mO8ALWz0,Good Mythical Morning,2017-04-12 06:00:07,541,763613,26473,1048,5053.0,1
50,How Logan Should Have Ended,yIl_FiV8V6E,www.youtube.com/watch?v=yIl_FiV8V6E,How It Should Have Ended,2017-04-12 12:00:44,403,2121662,106134,19206,21834.0,1
51,BURGER KING® | Connected Whopper®,U_O54le4__I,www.youtube.com/watch?v=U_O54le4__I,BURGER KING,2017-04-12 11:24:20,16,986155,8604,11167,5590.0,1
52,Major Lazer - Run Up (feat. PARTYNEXTDOOR & Nicki Minaj) (Official Music Video),s616v2pSWDU,www.youtube.com/watch?v=s616v2pSWDU,majorlazer,2017-04-12 12:19:09,229,1316769,83439,3371,6640.0,1
53,How I Made My Own iPhone - in China,leFuF-zoVzA,www.youtube.com/watch?v=leFuF-zoVzA,Strange Parts,2017-04-12 09:58:37,1429,997581,26981,984,3492.0,1
54,Trump: Jim Comey saved Hillary Clinton's life,gTnj0My91os,www.youtube.com/watch?v=gTnj0My91os,Fox Business,2017-04-12 08:05:32,236,112304,1070,1058,1172.0,1
55,Can't Get You More Pregnant - blink-182,xosDLSeIkpk,www.youtube.com/watch?v=xosDLSeIkpk,blink-182,2017-04-12 13:10:47,35,240954,7248,907,1176.0,1
56,Transformers: The Last Knight – Trailer (2017) Official – Paramount Pictures,6Vtf0MszgP8,www.youtube.com/watch?v=6Vtf0MszgP8,Transformers: The Last Knight,2017-04-12 09:00:00,165,2413399,10432,966,3465.0,1
57,SNL Host Jimmy Fallon and Harry Styles Snap to It,-_CX5uuJlWA,www.youtube.com/watch?v=-_CX5uuJlWA,Saturday Night Live,2017-04-12 10:42:57,56,328051,13764,364,1510.0,1
58,Is the European Union Worth It Or Should We End It?,XxutY7ss1v4,www.youtube.com/watch?v=XxutY7ss1v4,Kurzgesagt – In a Nutshell,2017-04-13 08:01:11,462,1243914,101323,5414,26718.0,1
59,TEENS REACT TO THEMSELVES ON KIDS REACT!,_GUo7r4ckQ8,www.youtube.com/watch?v=_GUo7r4ckQ8,FBE,2017-04-12 17:00:03,279,777702,32933,442,3609.0,1
60,TARTE FESTIVAL MAKEUP | Hot or Not,fTuJdX6gK8A,www.youtube.com/watch?v=fTuJdX6gK8A,Tati,2017-04-13 10:00:03,920,358852,22203,340,3312.0,1
61,A Tribute To Carrie Fisher,sE99le5FBrY,www.youtube.com/watch?v=sE99le5FBrY,Star Wars,2017-04-13 12:28:49,297,1592708,105709,1616,9730.0,1
62,Horse Attacks an Alligator   Only in Florida,3zEBRt_fChE,www.youtube.com/watch?v=3zEBRt_fChE,Storyful News,2017-04-12 18:06:37,44,201266,1260,90,1152.0,1
